Name,Distric,Addr,Area,UnitP,TotalP,Status,Opendate,MoreInfo
金凤城,上海周边,治江路与凤凰路交汇处,建面 251-290㎡,15000,总价440万/套,在售,2019.03.01,"
                            售楼处：11月18日项目销控信息
                                                                                                                                                                                                                                        
                            销控信息

                                11月18日售楼处现场房源情况：项目在售别墅建面约251-290平，均价约17000元/平，总价约400-500万/套，具体一房一价，详情请联系下方经纪人。	...
                            "
中海阅麓山,松江,文翔路昆水街,建面 90-143㎡,53000,总价540万/套,在售,2020.12,"
                            售楼处：12月25日项目销控信息
                                                                                                                                                                                                                                        
                            销控信息

                                12月25日售楼处现场房源情况：项目目前在售，户型建面约90-102-106平，均价约55000元/平，总价约440-600万/套，具体一房一价。销控信息不定时更新，详情请咨询下方经纪人。	...
                            "
中海阅麓山,松江,文翔路昆水街,建面 70-95㎡,37000,总价260万/套,在售,2020.10.10,"
                            售楼处：12月24日项目销控信息
                                                                                                                                                                                                                                        
                            销控信息

                                12月24日售楼处现场房源情况：项目在售洋房，主推建面约70-85-95平，均价约3.5-3.7万元/平米，总价240-370万/套，具体一房一价，销控信息不定时更新，详情可点击下方联系经纪人。	...
                            "
颐和湾花园,上海周边,太湖西路199号,建面 143-192㎡,31000,总价480万/套,在售,2019.05.01,"
                            售楼处：11月9日项目销控信息
                                                                                                                                                                                                                                        
                            销控信息

                                11月9日售楼处房源情况：项目目前在售，在售户型建面约172平，均价3-3.2万/平，总价约400-550万元/套；还有少量一楼带地下室在售，户型建面约120+80平。销控信息不定时更新，详情可点击下方联系经纪人。...
                            "
招商花园城,宝山,水产路2199弄,,33000,总价450万/套,在售,2019.03,"
                            售楼处：12月28日项目销控信息
                                                                                                                                                                                                                                        
                            销控信息

                                12月28日售楼处现场房源情况：目前在售少量商铺房源，户型面积约83-235平米底商，均价约28888-53000元/平米，总价360万起，商铺分金街及花园街两部分，售价略有不同，具体一铺一价。销控信息不定时更新，详情可点击下方联系经纪人。...
                            "
国乐广场,松江,茸平路333弄,,42000,总价330万/套,在售,2016.10.15,"
                            售楼处：12月22日项目销控信息
                                                                                                                                                                                                                                        
                            销控信息

                                12月22日售楼处现场房源情况：项目目前在售建面约81-82平商业别墅，均价约4.2万/平，总价约330-350万/套，具体一房一价。销控信息不定时更新，详情请咨询下方经纪人。	...
                            "
云间新天地,松江,中山东路249号,,55000,总价410万/套,在售,2018.03.23,"
                            售楼处：12月25日项目销控信息
                                                                                                                                                                                                                                        
                            销控信息

                                12月25日售楼处现场房源情况：项目商铺在售，在售户型建面约40-70平米，均价约55000元/平米，总价约213-609万元/套。销控信息不定时更新，详情可点击下方联系经纪人。	...
                            "
佘山院子东园,松江,崇南公路499弄,建面 90-130㎡,价格待定,,售罄,2019.03.23,"
                            售楼处：4月23日项目销控信息
                                                                                                                                                                                                                                        
                            销控信息

                                4月23日售楼处现场房源情况：目前别墅在售，目前仅有2套在售，建面130平，一口价530万，销控信息不定时更新，详情可点击下方联系经纪人。...
                            "
凤凰城天境,奉贤,正旭路与云樱路交叉口,建面 115-120㎡,29900,总价348万/套,在售,2019.03.15,"
                            售楼处：11月26日项目销控信息
                                                                                                                                                                                                                                        
                            销控信息

                                11月26日售楼处现场房源情况：目前在售10-22号楼，在售少量115和120平的别墅房源，均价29900元/平。以上信息为您现场采集，销控信息不定时更新，详情可点击下方联系经纪人。...
                            "
葛洲坝玉兰花园,青浦,清河湾路1699弄,建面 102-179㎡,40000,总价530万/套,售罄,2020.07.29,"
                            售楼处：11月9日项目销控信息
                                                                                                                                                                                                                                        
                            销控信息

                                11月9日售楼处房源情况：目前在售小高层户型，总高10层，建面为102-130-146-170-179平米，均价约3.9万/平米左右，总价约760万/套，具体一房一价，该项目另有叠加别墅在售，销控信息不定时更新，详情可点击下方联系经纪人。	...
                            "
嘉宝梦之缘景庭,嘉定,云屏路1033弄,建面 76-139㎡,39000,总价630万/套,售罄,2016.10.11,"
                            售楼处：8月19日项目销控信息
                                                                                                                                                                                                                                        
                            销控信息

                                售楼处8月19日销控信息：项目已经售罄，暂无确定后期是否有加推，房源毛坯交付。详细信息可点击下方联系经纪人。...
                            "
佳兆业城市广场,嘉定,"顺宁路501弄,",建面 87-140㎡,35000,总价343万/套,在售,2020.09.18,"
                            售楼处：12月21日项目销控信息
                                                                                                                                                                                                                                        
                            销控信息

                                12月21日售楼处房源情况：项目第四期9月份加推，加推21# 22# 23#三栋小高层，价格待定，具体信息以售楼处为准。以上销控信息不定时更新，详情可点击下方联系经纪人。...
                            "
